#  program: tccheck_single,,,,
#  date: Tue Mar 13 16:39:56 2018,,,,
# ,,,,
#  [2.6,6,0.01, 1],
#  R bridge,,,,
# SIM921 in slot 7: Stanford_Research_Systems,SIM921,s/n012022,ver4.2,
#  Mux,,,,
# SIM925 in slot 6,channel 1: Stanford_Research_Systems,SIM925,s/n004463,ver1.32
#  Time, channel, temperature, resistance,
1520980807,1,292.768,2.03E+02,
1520980813,2,292.768,1.36E+02,
1520980820,3,292.768,1.94E+01,
1520980826,4,292.768,1.81E+02,
1520980833,5,292.769,1.70E+02,
1520980840,6,292.769,5.37E+01,
1520980846,1,292.77,1.45E+02,
1520980852,2,292.771,1.70E+02,
1520980858,3,292.771,3.42E+01,
1520980864,4,292.772,1.68E+02,
1520980871,5,292.772,1.77E+02,
1520980877,6,292.772,6.47E+01,
1520980886,1,292.774,1.88E+02,
1520980892,2,292.773,1.72E+02,
1520980898,3,292.774,6.15E+01,
1520980906,4,292.775,1.54E+02,
1520980912,5,292.775,1.93E+02,
1520980918,6,292.775,7.72E+01,
1520980926,1,292.776,1.62E+02,
1520980932,2,292.776,1.69E+02,
1520980938,3,292.776,7.31E+01,
1520980946,4,292.778,2.10E+02,
1520980952,5,292.777,1.61E+02,
1520980958,6,292.778,8.59E+01,
1520980966,1,292.778,1.60E+02,
1520980972,2,292.779,1.58E+02,
1520980978,3,292.779,5.10E+01,
1520980986,4,292.779,1.68E+02,
1520980992,5,292.78,1.81E+02,
1520980999,6,292.78,6.25E+01,
1520981006,1,292.781,1.83E+02,
1520981013,2,292.781,1.64E+02,
1520981020,3,292.781,1.90E+01,
1520981026,4,292.782,1.73E+02,
1520981033,5,292.783,1.65E+02,
1520981040,6,292.783,5.02E+01,
1520981046,1,292.783,1.66E+02,
1520981053,2,292.784,1.73E+02,
1520981060,3,292.784,5.39E+01,
1520981066,4,292.784,1.64E+02,
1520981073,5,292.785,1.70E+02,
1520981080,6,292.785,5.68E+01,
1520981086,1,292.786,1.70E+02,
1520981093,2,292.786,1.78E+02,
