Trial,40K I series,40K V series,40K V resistor,40K power,40K temp,4K I series,4K V series,4K V resistor,4K power,4K temp,Date
111,-0.00025864,0.0025864,0.00262722,-6.80E-07,59.0274,-0.000836086,0.00836086,0.00815774,-6.82E-06,3.439,23:03.2
112,-8.42E-05,0.0008424,0.00094884,-7.99E-08,59.0328,0.599852068,0.00147932,0.00165242,0.000991208,3.4308,28:16.4
113,-0.0003172,0.003172,0.00133692,-4.24E-07,58.9438,0.136879517,7.1164862,6.7325768,0.921551863,5.0954,33:30.1
114,-0.0003154,0.003154,0.00130368,-4.11E-07,58.8904,0.488326,7.11674,6.7319374,3.287380063,5.14,38:44.0
115,-0.0004224,0.004224,0.00098704,-4.17E-07,58.7852,0.235883326,12.3381052,11.6815926,2.755492912,7.8494,43:56.9
116,-0.00047538,0.0047538,0.00099356,-4.72E-07,58.7634,0.272332475,14.247238,13.4904802,3.67389586,8.9396,49:09.9
117,-0.00052236,0.0052236,0.00099854,-5.22E-07,59.031,0.304688636,15.9267796,15.0804262,4.594834491,9.806,54:23.0
118,-0.00056218,0.0056218,0.00099756,-5.61E-07,59.4006,0.333400669,17.450603,16.525219,5.509519071,10.6076,59:36.4
119,0.09881094,5.0118906,4.8831658,0.482510203,60.393,-0.00085598,0.0085598,0.007105,-6.08E-06,3.837,19:51.0
120,0.09877322,5.0122678,4.8821222,0.48222293,60.2474,0.09757962,5.0242038,4.7580496,0.464288672,4.5416,25:04.2
121,0.0987589,5.012411,4.8817334,0.482114621,60.0796,0.136983377,7.1154476,6.7402246,0.92329873,5.2104,30:17.2
122,0.09873878,5.0126122,4.8811392,0.48195773,59.887,0.19341578,10.0658422,9.5359132,1.84439609,6.6882,35:30.8
123,0.09872668,5.0127332,4.8806746,0.481852799,59.739,0.235941306,12.3375254,11.6881078,2.757707415,8.058,40:44.0
124,0.09871088,5.0128912,4.8802548,0.481734246,59.798,0.272387855,14.2466842,13.4968724,3.67638412,8.9342,45:57.4
125,0.09869456,5.0130544,4.8800124,0.481630677,60.0204,0.304760276,15.9260632,15.086207,4.597676611,9.7976,51:11.0
126,0.09867612,5.0132388,4.8797596,0.481515744,60.286,0.333409389,17.4505158,16.528259,5.510676736,10.6958,56:24.2
127,0.138680837,7.098473,6.9164032,0.959172588,61.1082,-0.00087102,0.0087102,0.0067076,-5.84E-06,3.8024,16:38.7
128,0.138644677,7.0988346,6.9153642,0.958778439,60.9444,0.09758786,5.0241214,4.7584144,0.464363478,4.5308,21:51.9
129,0.138627477,7.0990066,6.9149674,0.958604487,60.743,0.136992757,7.1153538,6.7409854,0.923466178,5.1958,27:05.1
130,0.138608777,7.0991936,6.91438,0.958393758,60.5264,0.1934423,10.065577,9.537153,1.844888812,6.6724,32:18.1
131,0.138592717,7.0993542,6.9139072,0.958217187,60.3636,0.235967906,12.3372594,11.6896474,2.758381615,8.0532,37:31.7
132,0.138581957,7.0994618,6.9135188,0.958088968,60.4094,0.272419115,14.2463716,13.4992902,3.677464687,8.9088,42:44.9
133,0.138568557,7.0995958,6.9132316,0.95795653,60.6038,0.304755716,15.9261088,15.0882302,4.598224399,9.7494,47:58.1
134,0.138547237,7.099809,6.913167,0.95780019,60.8656,0.333394469,17.450665,16.5285318,5.510521084,10.632,53:12.0
135,0.19598774,10.0401226,9.78278,1.917304943,61.8144,-0.00087704,0.0087704,0.006293,-5.52E-06,3.8,13:27.3
136,0.19596384,10.0403616,9.7816464,1.91684899,61.6772,0.09757334,5.0242666,4.7582062,0.464274071,4.5154,18:40.2
137,0.19596158,10.0403842,9.7812174,1.916742816,61.5046,0.136982557,7.1154558,6.7408152,0.923374105,5.2094,23:54.4
138,0.19594148,10.0405852,9.780695,1.916443854,61.3048,0.19343094,10.0656906,9.5371334,1.844776678,6.6896,29:07.3
139,0.19592392,10.0407608,9.7801874,1.916172654,61.1542,0.235958666,12.3373518,11.6897666,2.758301729,8.0522,34:19.9
140,0.19592008,10.0407992,9.779794,1.916058023,61.2014,0.272415315,14.2464096,13.499821,3.677557988,8.9572,39:32.7
141,0.1959017,10.040983,9.7795742,1.915835211,61.4076,0.304798836,15.9256776,15.0904444,4.599549889,9.7642,44:45.5
142,0.19589444,10.0410556,9.7795146,1.915752536,61.6824,0.333435729,17.4502524,16.53069,5.511922672,10.6726,49:58.5
143,0.239099046,12.305948,11.990572,2.866934322,62.6638,-0.00089392,0.0089392,0.0060158,-5.38E-06,3.8204,10:13.0
144,0.239076266,12.3061758,11.9896148,2.866432333,62.5414,0.09758472,5.0241528,4.7584952,0.464356422,4.5344,15:26.0
145,0.239068746,12.306251,11.9895792,2.86633366,62.4102,0.346108297,5.0241984,4.758453,1.646940066,4.5222,20:39.0
146,0.239031026,12.3066282,11.98862,2.865652135,62.2152,0.19345244,10.0654756,9.538183,1.845184775,6.6254,25:52.8
147,0.239027506,12.3066634,11.988227,2.865515997,62.0176,0.235983786,12.3371006,11.6911704,2.75892665,8.0592,31:06.0
148,0.239017646,12.306762,11.987789,2.865293104,62.0716,0.272415735,14.2464054,13.5014496,3.678007314,8.9608,36:19.2
149,0.238999786,12.3069406,11.9874958,2.865008927,62.2872,0.304817976,15.9254862,15.092654,4.600512246,9.7786,41:31.9
150,0.238998186,12.3069566,11.987338,2.864952033,62.5586,0.333458069,17.450029,16.5337414,5.513309482,10.6984,46:45.1
151,0.277271915,14.1978436,13.8339324,3.835760926,63.5656,-0.00090096,0.0090096,0.0056862,-5.12E-06,3.8454,06:59.7
152,0.277247735,14.1980854,13.8328834,3.835135589,63.4634,0.09758154,5.0241846,4.7586704,0.464358386,4.5504,12:12.4
153,0.277223075,14.198332,13.8325256,3.83469528,63.3072,0.136983577,7.1154456,6.741886,0.923527663,5.2314,17:25.5
154,0.277201695,14.1985458,13.8319708,3.834245749,63.1182,0.19346022,10.0653978,9.5388318,1.845384499,6.71,22:38.5
155,0.277278675,14.197776,13.833482,3.835729557,63.144,1.385760466,0.8393338,0.7913248,1.096586623,3.8416,27:51.3
